"filename","accuracy","balanced_accuracy","macro_f1","true_negatives","false_positives","false_negatives","true_positives","precision_f","recall_f","f1-score_f","support_f","precision_s","recall_s","f1-score_s","support_s","support_s","phase","Stroke"
"FJ_L3_2024-07-15_1.csv_BALANCED",0.607142857142857,0.607142857142857,0.580952380952381,5,9,2,12,0.714285714285714,0.357142857142857,0.476190476190476,14,0.571428571428571,0.857142857142857,0.685714285714286,14,35,"early","y"
"K_R2_2025-02-04_1.csv_BALANCED",0.596153846153846,0.596153846153846,0.517454706142289,5,21,0,26,1,0.192307692307692,0.32258064516129,26,0.553191489361702,1,0.712328767123288,26,56,"Late","y"
"AZ_L3_2024-12-29_1.csv_BALANCED",0.588235294117647,0.588235294117647,0.564102564102564,14,3,11,6,0.56,0.823529411764706,0.666666666666667,17,0.666666666666667,0.352941176470588,0.461538461538462,17,38,"Late","y"
"FJ_L3_2024-07-29_1.csv_BALANCED",0.574074074074074,0.574074074074074,0.513894324853229,6,21,2,25,0.75,0.222222222222222,0.342857142857143,27,0.543478260869565,0.925925925925926,0.684931506849315,27,27,"Late","y"
"AZ_R2_2024-12-14_1.csv_BALANCED",0.5625,0.5625,0.458937198067633,1,7,0,8,1,0.125,0.222222222222222,8,0.533333333333333,1,0.695652173913043,8,35,"early","n"
"K_R3_2025-02-04_1.csv_BALANCED",0.547619047619048,0.547619047619048,0.499686520376176,5,16,3,18,0.625,0.238095238095238,0.344827586206897,21,0.529411764705882,0.857142857142857,0.654545454545455,21,58,"early","n"
"FS_R2_2024-06-29_1.csv_BALANCED",0.538461538461538,0.538461538461538,0.527272727272727,5,8,4,9,0.555555555555556,0.384615384615385,0.454545454545455,13,0.529411764705882,0.692307692307692,0.6,13,87,"Pre_Stroke","y"
"FJ_R3_2024-07-15_1.csv_BALANCED",0.5,0.5,0.333333333333333,0,1,0,1,0,0,0,1,0.5,1,0.666666666666667,1,1,"early","y"
"FJ_L2_2024-07-15_1.csv_BALANCED",0.5,0.5,0.485714285714286,2,1,2,1,0.5,0.666666666666667,0.571428571428571,3,0.5,0.333333333333333,0.4,3,25,"early","y"
"FJ_R3_2024-07-29_1.csv_BALANCED",0.488095238095238,0.488095238095238,0.429113323850166,7,35,8,34,0.466666666666667,0.166666666666667,0.245614035087719,42,0.492753623188406,0.80952380952381,0.612612612612613,42,47,"Late","y"
"FJ_R2_2024-07-29_1.csv_BALANCED",0.333333333333333,0.333333333333333,0.25,0,3,1,2,0,0,0,3,0.4,0.666666666666667,0.5,3,3,"Late","y"
"FJ_R2_2024-07-15_1.csv_BALANCED",0.166666666666667,0.166666666666667,0.142857142857143,0,3,2,1,0,0,0,3,0.25,0.333333333333333,0.285714285714286,3,3,"early","y"
